name,dong,address,lat,lng,geo,theme,programs,phone,merchant_no
"카럽","경현동","전라남도 나주시 예향로 4206","35.028149","126.710744","naver","세차장","고유가 피해지원금","061)331-5532","78274313"
"이마트24 전남나주고점","경현동","전라남도 나주시 예향로 4212","35.02887","126.710438","naver","편의점","고유가 피해지원금","","107874614"
"CAFE LUV","경현동","전라남도 나주시 예향로 4206 2층","35.028242","126.710674","naver","커피/음료전문점","고유가 피해지원금","","93362612"
"가람카세차장","경현동","전라남도 나주시","35.027266","126.710583","naver","세차장","고유가 피해지원금","061)332-3739","64889862"
"(주)한국자동차서비스","경현동","전라남도 나주시 늦은맛재길 10 한국자동차서비스","35.027376","126.710062","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)332-0000","55812141"
"타이어 김","경현동","전라남도 나주시 예향로 4242","35.031517","126.709825","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)331-1388","56832064"
"한수제포장마차","경현동","전라남도 나주시 경현길 18 경현루","35.033788","126.709264","naver","일반음식점 기타","고유가 피해지원금","","97900894"
"인정마을","경현동","전라남도 나주시 늦은맛재길 28","35.027142","126.708163","naver","한식","고유가 피해지원금","061)334-9616","12278849"
"정자나무슈퍼","경현동","전남 나주시 경현동","35.041014","126.698435","dong","슈퍼마켓","고유가 피해지원금","061)333-9289","98750207"
"시아당","경현동","전라남도 나주시 경현길 67","35.0366","126.705367","naver","커피/음료전문점","고유가 피해지원금","","106263668"
"포레지아 바베큐캠핑","경현동","전라남도 나주시 경현길 65 포레지아바베큐캠핑","35.036627","126.705126","naver","일반잡화판매점","고유가 피해지원금","061)356-5164","110467805"
"만남슈퍼","경현동","전남 나주시 경현동","35.039478","126.698142","dong","슈퍼마켓","고유가 피해지원금","061)335-9746","61255351"
"나주 글램핑 어스","경현동","전라남도 나주시 경현동","35.036719","126.705051","naver","기타 레저업소","고유가 피해지원금","061)333-0720","86460843"
"금성산가든","경현동","전라남도 나주시 경현길 63 금성산가든","35.036505","126.705628","naver","한식","고유가 피해지원금","061)335-9746","61928421"
"포레지아 바베큐 식당","경현동","전라남도 나주시 경현길 65 포레지아 바베큐 식당","35.036591","126.705129","naver","커피/음료전문점","고유가 피해지원금","061)333-0720","96995847"
"강촌","경현동","전라남도 나주시 경현길 87","35.037476","126.703073","naver","한식","고유가 피해지원금","061)333-0992","113831131"
"경현마을","경현동","전라남도 나주시 경현길 97","35.037982","126.702572","naver","한식","고유가 피해지원금","061)334-5659","94897716"
"정자나무","경현동","전라남도 나주시 경현길 105","35.038394","126.701865","naver","한식","고유가 피해지원금","061)333-9289","61298891"
"심심새오리구이","경현동","전라남도 나주시 금성산길 16-10","35.039836","126.702165","naver","한식","고유가 피해지원금","061)332-1818","21808613"
"라포네 (Rapone)","경현동","전라남도 나주시 금성산길 6 라포네 1,2층","35.038876","126.701899","naver","한식","고유가 피해지원금","031)334-0407","93735864"
"코이룩","경현동","전남 나주시 경현동","35.039861","126.701833","dong","기성복점","고유가 피해지원금","061)366-6880","102166436"
"재일휴게편의점","경현동","전남 나주시 경현동","35.041494","126.698498","dong","일반잡화판매점","고유가 피해지원금","070)4676-8504","83735424"
"나주건강랜드","경현동","전라남도 나주시 금성산길 14","35.039749","126.701757","naver","찜질방/목욕탕","고유가 피해지원금","061)332-2244","119891793"
"경현산장","경현동","전라남도 나주시 금성산길 16-9 경현산장","35.040742","126.702112","naver","한식","고유가 피해지원금","061)334-4666","110106944"
"금성대중음식","경현동","전남 나주시 경현동","35.039835","126.69781","dong","한식","고유가 피해지원금","061)334-3031","17256169"
"경현동 청년회","경현동","전라남도 나주시 건재로 211","35.05105","126.723766","naver","기타 레저업소","고유가 피해지원금","","115530490"
"황토집","경현동","전라남도 나주시 경현길 143 (경현동)","35.039611","126.698401","naver","한식","고유가 피해지원금","061)333-4747","13034730"
"대밭","경현동","전라남도 나주시 경현길 143-15","35.03957","126.6971","naver","한식","고유가 피해지원금","061)334-3469","53595071"
"나주신세계열쇠건설","경현동","전남 나주시 경현동","35.040587","126.701907","dong","기타 수리서비스","고유가 피해지원금","061)333-4025","48624267"
"(주)나주컨트리클럽","공산면","전라남도 나주시 공산면 상방리 산1-29","34.942029","126.64092","naver","골프장","고유가 피해지원금","061)335-7722","34460801"
"(주)나주컨트리클럽","공산면","전라남도 나주시 공산면 상방리 산1-29","34.942029","126.64092","naver","자동판매기 운영업","고유가 피해지원금","061)335-2654","116494022"
"공산어린이집","공산면","전라남도 나주시 공산면 공산로 140-7","34.943635","126.606668","naver","아이행복 어린이집","고유가 피해지원금","061)335-1681","61593842"
"농업회사법인 주식회사 코지뱅이","공산면","전남 나주시 공산면","34.949581","126.601957","dong","농.수.축산물점","고유가 피해지원금","","108316288"
"남도의병 유스호스텔","공산면","전라남도 나주시 공산면 덕음로 446","34.977688","126.601904","naver","시설대여업","고유가 피해지원금","061)332-0010","106693966"
"영산강카페테리아","공산면","전라남도 나주시 공산면 의병박물관길 1","34.979024","126.601759","naver","커피/음료전문점","고유가 피해지원금","","122153854"
"사단법인 우리","공산면","전라남도 나주시 공산면 공산로 30","34.942409","126.617983","naver","기술/사무/가정계학원","고유가 피해지원금","070)7076-5137","86387579"
"공산부분정비공업사","공산면","전라남도 나주시 공산면 공산로 72","34.941972","126.613525","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)335-5452","70108282"
"바오통닭","공산면","전남 나주시 공산면","34.950299","126.601823","dong","일반주점","고유가 피해지원금","061)335-6621","49228152"
"공산의원","공산면","전라남도 나주시 공산면 공산로 102 공산의원","34.941464","126.610526","naver","일반.치과.한의원","고유가 피해지원금","061)335-7475","9115650"
"나주식당","공산면","전라남도 나주시 공산면 공산로 99 나주식육식당","34.941202","126.610712","naver","한식","고유가 피해지원금","061)335-3316","36096560"
"공산식육점","공산면","전라남도 나주시 공산면 공산로 124","34.942599","126.608678","naver","정육점","고유가 피해지원금","061)335-1805","27432371"
"중앙의원","공산면","전라남도 나주시 공산면 공산로 106 중앙의원","34.94161","126.610097","naver","일반.치과.한의원","고유가 피해지원금","061)335-5288","82754368"
"공산할인마트","공산면","전라남도 나주시 공산면 공산로 105","34.941213","126.609993","naver","일반잡화판매점","고유가 피해지원금","061)336-2223","16637893"
"(BHC)공산점","공산면","전라남도 나주시 공산면 덕음로 5-2","34.942894","126.609285","naver","일반음식점 기타","고유가 피해지원금","061)337-5333","104669371"
"대명약국","공산면","전라남도 나주시 공산면 공산로 104 대명약국","34.941558","126.610233","naver","약국","고유가 피해지원금","061)336-7300","46757860"
"커피(coffee)타조","공산면","전라남도 나주시 공산면 공산로 103","34.941297","126.610305","naver","커피/음료전문점","고유가 피해지원금","","92063082"
"커피(coffee)타조","공산면","전라남도 나주시 공산면 공산로 103","34.941297","126.610305","naver","커피/음료전문점","고유가 피해지원금","","101958323"
"공산한우촌","공산면","전라남도 나주시 공산면 공산로 101-1","34.941231","126.610433","naver","한식","고유가 피해지원금","061)335-1806","56932721"
"진수성찬","공산면","전라남도 나주시 공산면 공산로 99-2","34.940909","126.610606","naver","일반음식점 기타","고유가 피해지원금","061)334-9282","78222791"
"우리식당","공산면","전라남도 나주시 공산면 덕음로 5-2","34.942747","126.609226","naver","한식","고유가 피해지원금","061)335-8258","93924546"
"공산상사","공산면","전라남도 나주시 공산면 덕음로 5","34.942657","126.609167","naver","기타 건축자재","고유가 피해지원금","061)335-1575","80797789"
"둘리치킨 앤 맥주","공산면","전라남도 나주시 공산면 공산로 105","34.941215","126.610032","naver","일반음식점 기타","고유가 피해지원금","061)335-3477","117366852"
"어쩌다만두","공산면","전라남도 나주시 공산면 공산로 105","34.941207","126.609956","naver","한식","고유가 피해지원금","061)336-0505","120428474"
"공산할인마트 식육판매","공산면","전남 나주시 공산면","34.949233","126.601365","dong","정육점","고유가 피해지원금","061)336-8003","59944764"
"금곡농약사","공산면","전라남도 나주시 공산면 덕음로 2","34.942326","126.609216","naver","농어업용품","고유가 피해지원금","061)335-4784","27184427"
"가람정","공산면","전남 나주시 공산면","34.95148","126.602368","dong","한식","고유가 피해지원금","061)392-9962","80906957"
"밥심애분식","공산면","전남 나주시 공산면","34.948026","126.602449","dong","휴게음식점","고유가 피해지원금","","108938210"
"(주)아트프레쏘","공산면","전라남도 나주시 공산면 덕음로 2-1","34.942384","126.609231","naver","화랑","고유가 피해지원금","","108253305"
"공산치과의원","공산면","전라남도 나주시 공산면 공산로 107 백두산약국","34.941572","126.609756","naver","일반.치과.한의원","고유가 피해지원금","061)336-2876","15205528"
"(주)바이오푸드","공산면","전남 나주시 공산면","34.948161","126.604121","dong","건강식품점","고유가 피해지원금","061)335-2288","100438531"
"드림건강통합센터","공산면","전남 나주시 공산면","34.951696","126.603409","dong","건강식품점","고유가 피해지원금","061)335-2288","97165908"
"한국흉부외과의원","공산면","전라남도 나주시 공산면 공산로 124-9","34.942973","126.608723","naver","일반.치과.한의원","고유가 피해지원금","061)334-7688","9098092"
"공산철물","공산면","전라남도 나주시 공산면 공산로 120","34.94238","126.60906","naver","철물점","고유가 피해지원금","061)335-3108","50203201"
"새공산약국","공산면","전라남도 나주시 공산면 공산로 124-7","34.94288","126.608701","naver","약국","고유가 피해지원금","061)335-8494","69690083"
"운산전자","공산면","전라남도 나주시 공산면 덕음로 7 운산전자","34.942831","126.609272","naver","기타 전자제품","고유가 피해지원금","061)335-5818","101376303"
"감동이네","공산면","전라남도 나주시 공산면 덕음로 12 감동이네","34.943209","126.609646","naver","기타 식품","고유가 피해지원금","","101054460"
"어흥식당","공산면","전남 나주시 공산면","34.94959","126.601033","dong","한식","고유가 피해지원금","061)336-9415","112169311"
"백향식당","공산면","전라남도 나주시 공산면 공산로 121-1","34.942321","126.608728","naver","한식","고유가 피해지원금","070)7614-3579","92470451"
"카페 꽈배기어라","공산면","전라남도 나주시 공산면 공산로 126-2","34.942696","126.60834","naver","휴게음식점","고유가 피해지원금","061)336-0531","99111930"
"금성농산물유통","공산면","전라남도 나주시 공산면 공산로 123-2","34.942485","126.608354","naver","미곡상","고유가 피해지원금","061)335-3288","81417051"
"24시 무인빨래방","공산면","전라남도 나주시 대호길 76-7 1층 런드리존 빨래방","35.04334","126.717969","naver","세탁소","고유가 피해지원금","","105509550"
"만리장성","공산면","전라남도 나주시 공산면 공산로 131","34.942531","126.607833","naver","중식","고유가 피해지원금","061)335-3911","49762393"
"세븐일레븐 나주공산점","공산면","전라남도 나주시 공산면 공산로 127-1","34.942546","126.608041","naver","편의점","고유가 피해지원금","02)1577-0711","103301486"
"무적 다윗 종합무술관","공산면","전남 나주시 공산면","34.951795","126.6039","dong","레포츠클럽","고유가 피해지원금","061)332-1072","87497356"
"백세건강원","공산면","전라남도 나주시 공산면 공산로 133-1 1층","34.942515","126.607435","naver","건강식품점","고유가 피해지원금","061)371-0000","116993716"
"제일떡방앗간","공산면","전라남도 나주시 남평읍 남평2로 9 방앗간","35.043056","126.842988","naver","미곡상","고유가 피해지원금","061)335-3162","72336029"
"공산농협하나로마트","공산면","전라남도 나주시 공산면 공산로 138 공산하나로 마트","34.942901","126.607037","naver","농.수.축협직판장","고유가 피해지원금","061)336-3009","33776281"
"공산농협주유소","공산면","전라남도 나주시 공산면 공산로 142 (공산면)","34.942944","126.606589","naver","주유소","고유가 피해지원금","061)335-3030","49142459"
"공상중앙철물","공산면","전남 나주시 공산면","34.951086","126.604919","dong","철물점","고유가 피해지원금","061)335-3061","18218710"
"보보스","공산면","전라남도 나주시 공산면 공산로 141-3","34.942363","126.60683","naver","일반주점","고유가 피해지원금","061)336-3551","37404859"
"에이치제이이벤트(HJ이벤트)","공산면","전남 나주시 공산면","34.948039","126.604562","dong","기계 및 장비임대업","고유가 피해지원금","","108138511"
"야시맘S알럽베이비청과(풍성농원)","공산면","전남 나주시 공산면","34.95208","126.603164","dong","농.수.축산물점","고유가 피해지원금","061)335-8678","95037672"
"(주)나주황토공방","공산면","전남 나주시 공산면","34.94813","126.601454","dong","문화/취미 기타","고유가 피해지원금","061)336-3851","99926812"
"충주산방","공산면","전라남도 나주시 공산면 금강로 253","34.962061","126.590577","naver","주방 및 가정용품점","고유가 피해지원금","061)336-3851","13397861"
"피치노트","공산면","전남 나주시 공산면","34.951275","126.601271","dong","기타 신변잡화","고유가 피해지원금","","121460602"
"나주곳간","공산면","전라남도 나주시 상야1길 8 토담휴로스2차 113호(빛가람동)","35.021992","126.785995","naver","농.수.축산물점","고유가 피해지원금","070)7614-3579","113308035"
"공산자원","공산면","전라남도 나주시 공산면 화성리 1061","34.930714","126.583908","naver","중고물품 판매점","고유가 피해지원금","","120456425"
"홍가네","과원동","전라남도 나주시 향청길 14 1층","35.033874","126.717469","naver","한식","고유가 피해지원금","","121338117"
"여행램프 협동조합","과원동","전라남도 나주시 금성길 56 1층 쓸모잇는곳","35.033973","126.717825","naver","관광여행사","고유가 피해지원금","","92814389"
"탯자리원조나주곰탕","과원동","전남 나주시 과원동","35.035403","126.716922","dong","한식","고유가 피해지원금","061)332-3377","41513863"
"양가네사골돼지국밥","과원동","전라남도 나주시 금성길 75 양가네사골돼지국밥","35.035613","126.716785","naver","한식","고유가 피해지원금","061)820-8883","100416157"
"소나무카페","과원동","전라남도 나주시 금성관길 44-12","35.034565","126.716578","naver","커피/음료전문점","고유가 피해지원금","","118486581"
"한국상사","과원동","전라남도 나주시 북망문길 5","35.036429","126.716783","naver","차량 정비/부품/인테리어","고유가 피해지원금","","114719907"
"혁신공조에어컨","과원동","전라남도 나주시 북망문길 5","35.036429","126.716783","naver","냉난방기구","고유가 피해지원금","","110330144"
"가구챔피언","과원동","전라남도 나주시 노안면 노안로 570","35.065383","126.75128","naver","일반가구점","고유가 피해지원금","061)333-3680","86459981"
"나이스가구","과원동","전라남도 나주시 북망문길 1","35.036261","126.716695","naver","일반가구점","고유가 피해지원금","062)334-3680","107978808"
"제일떡집","과원동","전남 나주시 과원동","35.033281","126.716856","dong","일반잡화판매점","고유가 피해지원금","061)333-3888","17109154"
"사매기방앗간","과원동","전남 나주시 과원동","35.035909","126.716692","dong","미곡상","고유가 피해지원금","061)334-4048","56252567"
"(주)고마워요","과원동","전라남도 나주시 과원길 25","35.035135","126.715926","naver","민예.공예.토산품","고유가 피해지원금","070)7759-3665","88825679"
"해이나주","과원동","전라남도 나주시 금성관길 44-1 해이나주","35.034974","126.715639","naver","커피/음료전문점","고유가 피해지원금","","111561214"
"베트남음식점","과원동","전라남도 나주시 나주로 148-1","35.03176","126.717358","naver","일반음식점 기타","고유가 피해지원금","","119395910"
"청호","과원동","전라남도 나주시 과원길 28 청호","35.035295","126.715636","naver","한식","고유가 피해지원금","061)333-3835","31147473"
"신태창이발관","과원동","전남 나주시 과원동","35.035563","126.717472","dong","이용원","고유가 피해지원금","061)333-0414","105531895"
"정원담","과원동","전라남도 나주시 금성관길 46 정원담","35.034869","126.715452","naver","기타 식품","고유가 피해지원금","061)335-5788","105019376"
"형제오토바이","과원동","전라남도 나주시 금성관길 50","35.035308","126.715425","naver","오토바이판매점","고유가 피해지원금","061)332-3757","87209486"
"알찬농원","관정동","전남 나주시 관정동","34.991398","126.743023","dong","농.수.축산물점","고유가 피해지원금","","111892488"
"교동갈비","교동","전라남도 나주시 남고문로 19-1 1층","35.028168","126.713259","naver","한식","고유가 피해지원금","061)337-1534","116206676"
"드림종합광고기획","교동","전라남도 나주시 남고문로 19-1","35.028229","126.713276","naver","인쇄 및 광고","고유가 피해지원금","061)332-0341","27251295"
"골드퍼니쳐","교동","전라남도 나주시 남고문로 19","35.028204","126.713024","naver","주방기구점","고유가 피해지원금","061)333-8982","107012061"
"서문마당","교동","전라남도 나주시 나주천1길 55","35.030659","126.712429","naver","커피/음료전문점","고유가 피해지원금","","88031052"
"바실리에","교동","전라남도 나주시 나주천2길 28 바실리에","35.030187","126.712175","naver","일반음식점 기타","고유가 피해지원금","061)333-4803","81780656"
"향교길목","교동","전라남도 나주시 향교길 33-1","35.032635","126.71215","naver","한식","고유가 피해지원금","062)463-3090","107983157"
"한국타이어나주대리점","교동","전라남도 나주시 영산로 5338 한국타이어 나주대리점","35.035028","126.712622","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)333-1090","11836482"
"전은진의문화살롱","교동","전라남도 나주시 향교길 36-10 나동","35.033253","126.712224","naver","휴게음식점","고유가 피해지원금","061)332-2244","112143401"
"사단법인전라남도옥외광고협회나주시지부","교동","전남 나주시 교동","35.032523","126.710176","dong","인쇄 및 광고","고유가 피해지원금","061)332-5562","71248160"
"디프(DIFF)","교동","전남 나주시 교동","35.03074","126.712025","dong","커피/음료전문점","고유가 피해지원금","","99487970"
"3917마중","교동","전라남도 나주시 향교길 42-13 3917마중카페","35.033519","126.710528","naver","커피/음료전문점","고유가 피해지원금","061)331-3917","86612559"
"금향산방","교동","전남 나주시 교동","35.031271","126.710168","dong","기타 식품","고유가 피해지원금","061)332-2244","115322681"
"고조현외과의원","금계동","전라남도 나주시 나주로 152","35.031876","126.71758","naver","일반.치과.한의원","고유가 피해지원금","061)333-9595","43303500"
"솔나무떡방앗간","금계동","전남 나주시 금계동","35.029677","126.714884","dong","제과점/아이스크림점","고유가 피해지원금","061)335-9933","58537638"
"나주홍어","금계동","전라남도 나주시 영산3길 2-1 홍어1번지","34.999828","126.710404","naver","농.수.축산물점","고유가 피해지원금|온누리|전통시장","061)333-1098","38477713"
"(주)목우산업개발","금계동","전남 나주시 금계동","35.030485","126.713673","dong","실내장식","고유가 피해지원금","061)336-2448","113907471"
"나주로컬푸드2","금계동","전남 나주시 금계동","35.030044","126.715802","dong","휴게음식점","고유가 피해지원금","","118360561"
"보산보리밥집","금계동","전라남도 나주시 금성관길 17","35.031152","126.716092","naver","한식","고유가 피해지원금","061)333-2973","59923794"
"헤어테라피","금계동","전라남도 나주시 징고샅길 9","35.031159","126.716143","naver","미용원","고유가 피해지원금","","79309648"
"갤러리108","금계동","전라남도 나주시 금계1길 12","35.030918","126.715985","naver","커피/음료전문점","고유가 피해지원금","061)332-2244","118381871"
"라벨르 뷰티","금계동","전라남도 나주시 남고문로 43 라벨르뷰티","35.028486","126.715595","naver","피부미용원","고유가 피해지원금","061)333-5906","102634023"
"대성이발관","금계동","전라남도 나주시 금계1길 3","35.030133","126.715758","naver","이용원","고유가 피해지원금","061)333-9296","97252977"
"옥이식품","금계동","전남 나주시 금계동","35.032048","126.715224","dong","기타 식품","고유가 피해지원금|온누리|전통시장","061)333-0171","51490311"
"나주곰탕기와집","금계동","전라남도 나주시 징고샅길 11 나주 곰탕 기와집","35.031036","126.715778","naver","한식","고유가 피해지원금","070)7614-3579","94884836"
"송월떡집","금계동","전라남도 나주시 나주로 57","35.024102","126.715862","naver","제과점/아이스크림점","고유가 피해지원금","061)333-0555","26747535"
"사계절 반찬전문점","금계동","전남 나주시 금계동","35.03193","126.71392","dong","기타 식품","고유가 피해지원금","061)334-0093","17618603"
"누수하수해결사","금계동","전라남도 나주시 나주천2길 54","35.02947","126.714768","naver","기계류 건축설비","고유가 피해지원금","061)332-2244","112467128"
"토탈신발","금계동","전남 나주시 금계동","35.031702","126.716004","dong","일반신발점","고유가 피해지원금|온누리|전통시장","062)374-3291","72665870"
"에스지세기건설","금계동","전라남도 나주시 남고문로 37","35.028404","126.715052","naver","주택/건설","고유가 피해지원금","061)334-1310","118286423"
"예향휴게음식","금계동","전남 나주시 금계동","35.029532","126.715954","dong","패스트푸드점","고유가 피해지원금","061)333-1009","118350131"
"(주)제이스피릿","금계동","전남 나주시 금계동","35.032341","126.714719","dong","레저용품점","고유가 피해지원금|온누리","062)952-7451","65227451"
"나주시전통문화체험장","금계동","전남 나주시 금계동","35.029391","126.713717","dong","공연장/전시장","고유가 피해지원금","061)330-8714","51148592"
"지혜전기","금계동","전라남도 나주시 금남길 30","35.030823","126.714758","naver","기타 수리서비스","고유가 피해지원금","061)332-2244","81866406"
"교동쭈꾸미","금계동","전라남도 나주시 금계2길 13","35.030999","126.714868","naver","한식","고유가 피해지원금","061)333-9901","75353361"
"카페98","금계동","전라남도 나주시 금성관길 13-20 1층","35.031922","126.71502","naver","커피/음료전문점","고유가 피해지원금","","110009458"
"동강장식","금계동","전남 나주시 금계동","35.032226","126.71568","dong","지물 및 천막","고유가 피해지원금","061)333-3104","70387673"
"남일상회","금계동","전남 나주시 금계동","35.030137","126.713081","dong","농.수.축산물점","고유가 피해지원금|온누리|전통시장","061)332-4693","17262502"
"예향레스토랑","금계동","전남 나주시 금계동","35.02992","126.71645","dong","양식","고유가 피해지원금","061)333-1009","14265091"
"시범어린이집","금계동","전라남도 나주시 금남길 37","35.031704","126.714476","naver","아이행복 어린이집","고유가 피해지원금","061)334-5120","61579459"
"청산옥","금계동","전라남도 나주시 금남길 41 청산옥","35.032024","126.714588","naver","한식","고유가 피해지원금","","98694083"
"다락","금계동","전라남도 나주시 보리마당길 16-11 다락","35.031331","126.714343","naver","펜션/민박","고유가 피해지원금","061)332-2244","121676551"
"(주)안드로메다픽처스","금계동","전라남도 나주시 우정로 106","35.023381","126.791813","naver","이벤트업","고유가 피해지원금","061)930-3287","105406008"
"나주향","금계동","전라남도 나주시 보리마당길 16-5","35.031581","126.714193","naver","기타숙박업","고유가 피해지원금","061)332-2244","120707989"
"세화통상","금계동","전남 나주시 금계동","35.0326","126.715125","dong","스포츠용품점","고유가 피해지원금","070)7018-1930","41787195"
"(주)힐링트레블관광","금성동","전남 나주시 금성동","35.029731","126.71647","dong","렌트카","고유가 피해지원금","","116995266"
"다운타운","금성동","전남 나주시 금성동","35.028103","126.717236","dong","일반잡화판매점","고유가 피해지원금","02)1544-4223","114553315"
"크리닝마트","금성동","전라남도 나주시 나주로 104","35.028054","126.717649","naver","세탁소","고유가 피해지원금","061)333-8720","96387282"
"나주타이루위생기","금성동","전남 나주시 금성동","35.028911","126.716025","dong","건축자재","고유가 피해지원금","061)332-7579","87767471"
"제일철물공구","금성동","전라남도 나주시 나주로 98","35.02755","126.717494","naver","철물점","고유가 피해지원금","061)333-3309","69663718"
"삐삐","금성동","전라남도 나주시 나주천2길 80 논두렁","35.029787","126.717763","naver","한식","고유가 피해지원금","061)333-7892","11318467"
"맥시칸치킨(나주점)","금성동","전라남도 나주시 나주로 120","35.029409","126.717668","naver","일반주점","고유가 피해지원금","061)332-6661","25703161"
"가우 인터네셔널","금성동","전라남도 나주시 금천면 촌곡신가길 4 1층 8호","35.034895","126.765556","naver","자동판매기 운영업","고유가 피해지원금","061)930-0663","98938032"
"엔제이유통몰","금성동","전남 나주시 금성동","35.029629","126.715891","dong","스포츠용품점","고유가 피해지원금","","114151994"
"윤파크골프","금성동","전라남도 나주시 금성동 10-2","35.030169","126.717642","naver","스포츠용품점","고유가 피해지원금","061)333-3252","110531801"
"나주전기조명","금성동","전라남도 나주시 나주로 124","35.029629","126.717612","naver","조명 전기기구점","고유가 피해지원금","061)332-6212","96665498"
"본가 왕뼈감자탕 나주금성동점","금성동","전라남도 나주시 나주로 111","35.028791","126.7175","naver","한식","고유가 피해지원금","061)333-2680","120894411"
"그린헤어샵 (Green hair #)","금성동","전라남도 나주시 나주로 124 1층 그린헤어","35.029749","126.717579","naver","미용원","고유가 피해지원금","061)333-6258","85364174"
"애견랜드","금성동","전라남도 나주시 나주로 113 1층 애견랜드","35.028924","126.717552","naver","반려동물 서비스/용품점","고유가 피해지원금","061)334-8980","109957461"
"참깨와들깨","금성동","전라남도 나주시 나주로 115 참샘포크","35.029195","126.71748","naver","한식","고유가 피해지원금","061)332-9992","95050709"
"남고문 축산","금성동","전라남도 나주시 남고문로 60 남고문축산","35.028405","126.717362","naver","정육점","고유가 피해지원금","061)332-2244","122138685"
"예스(yes)학원","금성동","전라남도 나주시 남고문로 78","35.028849","126.719377","naver","문리계학원","고유가 피해지원금","061)333-0979","79935811"
"현대가구백화점","금성동","전라남도 나주시 남고문로 42","35.028137","126.71589","naver","일반가구점","고유가 피해지원금","061)333-5040","69177048"
"솔래쉬(SOLLASH)","금성동","전라남도 나주시 나주로 117 1층","35.029128","126.717263","naver","미용원","고유가 피해지원금","","116085034"
"이시스","금성동","전라남도 나주시 금성길 39","35.032427","126.718","naver","일반주점","고유가 피해지원금","061)334-5556","31023573"
"푸드뱅크","금성동","전라남도 나주시 나주로 132","35.03055","126.717335","naver","일반음식점 기타","고유가 피해지원금","061)332-2244","111280823"
"훈이네집","금성동","전라남도 나주시 나주로 134","35.030676","126.717359","naver","한식","고유가 피해지원금","061)332-3579","27785672"
"하나로 피자 앤 푸드","금성동","전라남도 나주시 나주로 101 하나로마트","35.02796","126.717094","naver","패스트푸드점","고유가 피해지원금","","97192660"
"고향역","금성동","전라남도 나주시 나주로 136-1","35.030873","126.717268","naver","한식","고유가 피해지원금","061)334-4112","81118763"
"풍차로","금성동","전남 나주시 금성동","35.028563","126.715433","dong","한식","고유가 피해지원금","061)333-2857","48198217"
"디자인나라","금성동","전라남도 나주시 남고문로 55","35.028669","126.716977","naver","인쇄 및 광고","고유가 피해지원금","061)337-7785","64986518"
"공리주의","금성동","전라남도 나주시 나주로 142-6 1층","35.031291","126.717324","naver","커피/음료전문점","고유가 피해지원금","061)930-3251","121548334"
"금양스크린골프연습장","금성동","전남 나주시 금성동","35.027356","126.716517","dong","골프연습장","고유가 피해지원금","061)334-9014","57580841"
"처갓집양념치킨 나주점","금성동","전라남도 나주시 나주천2길 72 명동돈가스 좌측칸호(금성동)","35.029679","126.716955","naver","일반음식점 기타","고유가 피해지원금","061)332-9281","117744032"
"자금성과 돈가스","금성동","전라남도 나주시 나주천2길 72 명동돈가스","35.029651","126.716838","naver","중식","고유가 피해지원금","061)332-0053","29536775"
"유한회사 나라관광","금성동","전남 나주시 금성동","35.027491","126.718189","dong","렌트카","고유가 피해지원금","061)337-9555","80283211"
